 PF1U    SC   1  0.5700    0.2578    0.2153    0.4784     0.0000     0.0000  180.0     1   Nb3Sn   ;CS shaping coil 1U
 PF2U    SC   2  0.5700    0.7253    0.2153    0.3827     0.0000     0.0000  144.0     1   Nb3Sn   ;CS shaping coil 2U
 PF3U    SC   3  0.5700    1.0488    0.2153    0.1914     0.0000     0.0000   72.0     1   Nb3Sn   ;CS shaping coil 3U
 PF4U    SC   4  0.5700    1.3242    0.2153    0.2870     0.0000     0.0000  108.0     1   Nb3Sn   ;CS shaping coil 4U
 PF5U    SC   5  1.0730    2.2950    0.3110    0.3827     0.0000     0.0000  208.0     1   Nb3Sn   ;Divertor shaping coil 5U
 PF6U    SC   6  3.0900    1.9200    0.1914    0.3827     0.0000     0.0000  128.0     1   NbTi    ;EF shaping coil 6U
 PF7U    SC   7  3.7300    0.9800    0.1435    0.2870     0.0000     0.0000   72.0     1   NbTi    ;EF shaping coil 7U
 PF7L    SC   8  3.7300   -0.9800    0.1435    0.2870     0.0000     0.0000   72.0     1   NbTi    ;EF shaping coil 7L
 PF6L    SC   9  3.0900   -1.9200    0.1914    0.3827     0.0000     0.0000  128.0     1   NbTi    ;EF shaping coil 6L
 PF5L    SC  10  1.0730   -2.2950    0.3110    0.3827     0.0000     0.0000  208.0     1   Nb3Sn   ;Divertor shaping coil 5L
 PF4L    SC  11  0.5700   -1.3242    0.2153    0.2870     0.0000     0.0000  108.0     1   Nb3Sn   ;CS shaping coil 4L
 PF3L    SC  12  0.5700   -1.0488    0.2153    0.1914     0.0000     0.0000   72.0     1   Nb3Sn   ;CS shaping coil 3L
 PF2L    SC  13  0.5700   -0.7253    0.2153    0.3827     0.0000     0.0000  144.0     1   Nb3Sn   ;CS shaping coil 2L
 PF1L    SC  14  0.5700   -0.2578    0.2153    0.4784     0.0000     0.0000  180.0     1   Nb3Sn   ;CS shaping coil 1L
 VOCS1U  VV   1  1.11600   0.18358   0.01200   0.36717    0.0000    0.0000    0.2500   1    SS316LN ;Outer upper vessel segments
